"position","const","created","modified","description","Title","Title type","Directors","RDLongoria rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"56","tt1016268","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","Enron: The Smartest Guys in the Room","Documentary","Alex Gibney","7","7.7","110","2005","documentary","12060","2005-04-22","http://www.imdb.com/title/tt1016268/"
"57","tt0113552","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","Kiss of Death","Feature Film","Barbet Schroeder","7","5.9","101","1995","action, crime, thriller","14137","1995-04-21","http://www.imdb.com/title/tt0113552/"
"58","tt0074806","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","The Little Girl Who Lives Down the Lane","Feature Film","Nicholas Gessner","7","7.1","100","1976","drama, mystery, thriller","9404","1976-12-25","http://www.imdb.com/title/tt0074806/"
"59","tt0111205","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","Sister My Sister","Feature Film","Nancy Meckler","7","7.0","89","1994","drama, thriller","2498","1994-12-15","http://www.imdb.com/title/tt0111205/"
"60","tt0093223","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","House of Games","Feature Film","David Mamet","7","7.3","102","1987","crime, thriller","16478","1987-08-29","http://www.imdb.com/title/tt0093223/"
"61","tt0120070","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","Savior","Feature Film","Peter Antonijevic","7","7.3","103","1998","drama, war","8628","1998-05-01","http://www.imdb.com/title/tt0120070/"
"62","tt0147004","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","Little Voice","Feature Film","Mark Herman","7","7.0","97","1998","comedy, drama, music, romance","13815","1998-09-18","http://www.imdb.com/title/tt0147004/"
"63","tt0814075","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","Deliver Us from Evil","Documentary","Amy Berg","7","8.0","101","2006","documentary, crime","8227","2006-06-24","http://www.imdb.com/title/tt0814075/"
"64","tt0073092","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","Hard Times","Feature Film","Walter Hill","7","7.4","93","1975","crime, drama, sport","6579","1975-09-04","http://www.imdb.com/title/tt0073092/"
"65","tt0044008","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","A Christmas Carol","Feature Film","Brian Desmond-Hurst","7","8.1","86","1951","drama, fantasy","14811","1951-10-31","http://www.imdb.com/title/tt0044008/"
"66","tt0060182","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","Born Free","Feature Film","James Hill","7","7.3","95","1966","adventure, drama, family","4590","1966-03-14","http://www.imdb.com/title/tt0060182/"
"67","tt0089869","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The Quiet Earth","Feature Film","Geoffrey Murphy","7","6.9","91","1985","drama, mystery, sci_fi","20018","1985-09-08","http://www.imdb.com/title/tt0089869/"
"68","tt0846789","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The Secret","Documentary","Drew Heriot","7","5.7","90","2006","documentary","9751","2006-03-26","http://www.imdb.com/title/tt0846789/"
"69","tt0067588","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Play Misty for Me","Feature Film","Clint Eastwood","7","7.0","102","1971","thriller","18880","1971-11-03","http://www.imdb.com/title/tt0067588/"
"70","tt0075968","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The Duellists","Feature Film","Ridley Scott","7","7.5","100","1977","drama, war","14564","1977-08-31","http://www.imdb.com/title/tt0075968/"
"71","tt0100485","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Revenge","Feature Film","Tony Scott","7","6.1","124","1990","action, crime, drama, romance, thriller","12436","1990-02-16","http://www.imdb.com/title/tt0100485/"
"72","tt1286130","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The Plan","Video","Edward James Olmos","6","7.0","112","2009","action, adventure, drama, romance, sci_fi","14201","2009-10-27","http://www.imdb.com/title/tt1286130/"
"73","tt0134154","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Ride with the Devil","Feature Film","Ang Lee","7","6.8","138","1999","drama, romance, war, western","11037","1999-09-09","http://www.imdb.com/title/tt0134154/"
"74","tt0075213","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The Shootist","Feature Film","Don Siegel","7","7.7","100","1976","drama, western","17140","1976-07-21","http://www.imdb.com/title/tt0075213/"
"75","tt0074452","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The Eagle Has Landed","Feature Film","John Sturges","7","6.9","135","1976","adventure, drama, thriller, war","14039","1976-12-25","http://www.imdb.com/title/tt0074452/"
"76","tt0115163","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Early Edition","TV Series","","7","7.5","41","1996","drama, fantasy, sci_fi","9245","1996-09-28","http://www.imdb.com/title/tt0115163/"
"77","tt0362590","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Employee of the Month","Feature Film","Mitch Rouse","7","6.2","97","2004","comedy, drama","8520","2004-01-17","http://www.imdb.com/title/tt0362590/"
"78","tt0424565","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The Wild Parrots of Telegraph Hill","Documentary","Judy Irving","7","7.9","83","2003","documentary","2727","2003-10-09","http://www.imdb.com/title/tt0424565/"
"79","tt0105089","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The Panama Deception","Documentary","Barbara Trent","7","7.5","91","1992","documentary, history, war","808","1992-07-31","http://www.imdb.com/title/tt0105089/"
"80","tt1267170","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","How the Earth Was Made","Documentary","Peter Chinn","7","8.1","90","2007","documentary","403","2007-12-16","http://www.imdb.com/title/tt1267170/"
"81","tt0064482","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","In the Year of the Pig","Documentary","Emile de Antonio","7","7.7","103","1968","documentary, war","1128","1968-10-25","http://www.imdb.com/title/tt0064482/"
"82","tt1966604","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The Imposter","Documentary","Bart Layton","7","7.5","99","2012","documentary, biography","33811","2012-01-23","http://www.imdb.com/title/tt1966604/"
"83","tt1878805","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","World Without End","Mini-Series","","7","7.0","","2012","drama, history, romance, thriller","5847","2012-09-04","http://www.imdb.com/title/tt1878805/"
"84","tt1876277","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Into the White","Feature Film","Petter Næss","7","7.2","104","2012","biography, drama, history, war","14989","2012-03-04","http://www.imdb.com/title/tt1876277/"
"85","tt0799862","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Caprica","TV Series","","7","7.1","60","2009","action, drama, sci_fi","20492","2009-04-21","http://www.imdb.com/title/tt0799862/"
"86","tt2120152","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The Invisible War","Documentary","Kirby Dick","7","7.6","93","2012","documentary, crime, drama, history","5710","2012-01-20","http://www.imdb.com/title/tt2120152/"
"87","tt1334553","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The Perfect Host","Feature Film","Nick Tomnay","7","6.8","93","2010","comedy, crime, thriller","19944","2010-01","http://www.imdb.com/title/tt1334553/"
